Timestep 0, E_1 = 618.8742040283686
Timestep 1, E_1 = 584.0924794673784
Timestep 2, E_1 = 563.6123657912306
Timestep 3, E_1 = 548.9394280240266
Timestep 4, E_1 = 537.4121151363163
Timestep 5, E_1 = 527.8454274463842
Timestep 6, E_1 = 519.6077805232806
Timestep 7, E_1 = 512.322702832807
Timestep 8, E_1 = 505.74788305656716
Timestep 9, E_1 = 499.7183817034231
Timestep 10, E_1 = 494.117048382452
Timestep 11, E_1 = 488.8578605623568
Timestep 12, E_1 = 483.8759495663699
Timestep 13, E_1 = 479.1213290521179
Timestep 14, E_1 = 474.5547885040089
Timestep 15, E_1 = 470.1451112480827
Timestep 16, E_1 = 465.86713426004565
Timestep 17, E_1 = 461.70036070307333
Timestep 18, E_1 = 457.62794580038803
Timestep 19, E_1 = 453.63594120134616
Timestep 20, E_1 = 449.71272229765384
Timestep 21, E_1 = 445.8485475859976
Timestep 22, E_1 = 442.03521503121533
Timestep 23, E_1 = 438.26579083057845
Timestep 24, E_1 = 434.5343930068672
Timestep 25, E_1 = 430.8360170751458
Timestep 26, E_1 = 427.1663943877403
Timestep 27, E_1 = 423.5218761421469
Timestep 28, E_1 = 419.8993377475611
Timestep 29, E_1 = 416.29609949226693
Timestep 30, E_1 = 412.7098603737167
Timestep 31, E_1 = 409.1386426395462
Timestep 32, E_1 = 405.58074510579047
Timestep 33, E_1 = 402.03470371359566
Timestep 34, E_1 = 398.49925808994305
Timestep 35, E_1 = 394.97332311437384
Timestep 36, E_1 = 391.4559646791628
Timestep 37, E_1 = 387.94637897704376
Timestep 38, E_1 = 384.44387476750774
Timestep 39, E_1 = 380.94785816658043
Timestep 40, E_1 = 377.45781958093306
Timestep 41, E_1 = 373.9733224690084
Timestep 42, E_1 = 370.49399366249395
Timestep 43, E_1 = 367.01951502321145
Timestep 44, E_1 = 363.54961624505717
Timestep 45, E_1 = 360.0840686394027
Timestep 46, E_1 = 356.6226797664235
Timestep 47, E_1 = 353.1652887950221
Timestep 48, E_1 = 349.71176249103
Timestep 49, E_1 = 346.2619917477667
Timestep 50, E_1 = 342.81588858523634
Timestep 51, E_1 = 339.37338355462407
Timestep 52, E_1 = 335.9344234936002
Timestep 53, E_1 = 332.498969585504
Timestep 54, E_1 = 329.066995681947
Timestep 55, E_1 = 325.63848685393043
Timestep 56, E_1 = 322.21343814133587
Timestep 57, E_1 = 318.79185347475106
Timestep 58, E_1 = 315.3737447471255
Timestep 59, E_1 = 311.9591310157942
Timestep 60, E_1 = 308.5480378180389
Timestep 61, E_1 = 305.1404965856271
Timestep 62, E_1 = 301.7365441457331
Timestep 63, E_1 = 298.33622229734533
Timestep 64, E_1 = 294.9395774537379
Timestep 65, E_1 = 291.5466603428609
Timestep 66, E_1 = 288.1575257586091
Timestep 67, E_1 = 284.77223235689524
Timestep 68, E_1 = 281.3908424912851
Timestep 69, E_1 = 278.01342208368186
Timestep 70, E_1 = 274.64004052618003
Timestep 71, E_1 = 271.2707706107594
Timestep 72, E_1 = 267.90568848397544
Timestep 73, E_1 = 264.54487362422043
Timestep 74, E_1 = 261.1884088395022
Timestep 75, E_1 = 257.83638028401066
Timestep 76, E_1 = 254.48887749202962
Timestep 77, E_1 = 251.1459934280031
Timestep 78, E_1 = 247.8078245517917
Timestep 79, E_1 = 244.4744708983539
Timestep 80, E_1 = 241.1460361712679
Timestep 81, E_1 = 237.8226278496714
Timestep 82, E_1 = 234.5043573083457
Timestep 83, E_1 = 231.1913399508059
Timestep 84, E_1 = 227.8836953553855
Timestep 85, E_1 = 224.58154743442233
Timestep 86, E_1 = 221.28502460676506
Timestep 87, E_1 = 217.99425998392744
Timestep 88, E_1 = 214.7093915703243
Timestep 89, E_1 = 211.43056247812538
Timestep 90, E_1 = 208.15792115736892
Timestep 91, E_1 = 204.89162164208125
Timestep 92, E_1 = 201.63182381325728
Timestep 93, E_1 = 198.3786936796685
Timestep 94, E_1 = 195.1324036775808
Timestep 95, E_1 = 191.89313299058992
Timestep 96, E_1 = 188.66106789091043
Timestep 97, E_1 = 185.43640210359678
Timestep 98, E_1 = 182.21933719532328
Timestep 99, E_1 = 179.0100829895139
Timestep 100, E_1 = 175.8088580097889
Timestep 101, E_1 = 172.61588995388752
Timestep 102, E_1 = 169.43141620043534
Timestep 103, E_1 = 166.25568435115676
Timestep 104, E_1 = 163.08895281138345
Timestep 105, E_1 = 159.93149141198873
Timestep 106, E_1 = 156.78358207618382
Timestep 107, E_1 = 153.6455195349494
Timestep 108, E_1 = 150.5176120952501
Timestep 109, E_1 = 147.400182465592
Timestep 110, E_1 = 144.29356864394228
Timestep 111, E_1 = 141.1981248735368
Timestep 112, E_1 = 138.11422267266687
Timestep 113, E_1 = 135.04225194516124
Timestep 114, E_1 = 131.98262217897795
Timestep 115, E_1 = 128.93576374109293
Timestep 116, E_1 = 125.90212927773855
Timestep 117, E_1 = 122.88219523000308
Timestep 118, E_1 = 119.87646347587346
Timestep 119, E_1 = 116.88546311099724
Timestep 120, E_1 = 113.9097523817653
Timestep 121, E_1 = 110.94992078579966
Timestep 122, E_1 = 108.00659135657398
Timestep 123, E_1 = 105.08042315072872
Timestep 124, E_1 = 102.17211395867523
Timestep 125, E_1 = 99.28240326134025
Timestep 126, E_1 = 96.41207545839728
Timestep 127, E_1 = 93.56196339608528
Timestep 128, E_1 = 90.73295222573961
Timestep 129, E_1 = 87.92598362746719
Timestep 130, E_1 = 85.14206043698779
Timestep 131, E_1 = 82.3822517175268
Timestep 132, E_1 = 79.64769832275385
Timestep 133, E_1 = 76.93961900105899
Timestep 134, E_1 = 74.25931709585318
Timestep 135, E_1 = 71.6081879009231
Timestep 136, E_1 = 68.98772673393772
Timestep 137, E_1 = 66.39953779466546
Timestep 138, E_1 = 63.845343876840055
Timestep 139, E_1 = 61.32699700322952
Timestep 140, E_1 = 58.846490051366686
Timestep 141, E_1 = 56.40596943126692
Timestep 142, E_1 = 54.00774886447643
Timestep 143, E_1 = 51.65432429348796
Timestep 144, E_1 = 49.34838991861025
Timestep 145, E_1 = 47.09285531136036
Timestep 146, E_1 = 44.890863483574236
Timestep 147, E_1 = 42.74580969225514
Timestep 148, E_1 = 40.66136062234592
Timestep 149, E_1 = 38.641473401773375
Timestep 150, E_1 = 36.69041365215428
Timestep 151, E_1 = 34.81277145050426
Timestep 152, E_1 = 33.01347365937489
Timestep 153, E_1 = 31.29779056744333
Timestep 154, E_1 = 29.671334174033685
Timestep 155, E_1 = 28.140044776337934
Timestep 156, E_1 = 26.71016184201514
Timestep 157, E_1 = 25.38817459386302
Timestep 158, E_1 = 24.1807474941555
Timestep 159, E_1 = 23.09461617484456
Timestep 160, E_1 = 22.136450662611168
Timestep 161, E_1 = 21.312685337782042
Timestep 162, E_1 = 20.62931914289344
Timestep 163, E_1 = 20.091694969857777
Timestep 164, E_1 = 19.704273193179645
Timestep 165, E_1 = 19.47041962725492
Timestep 166, E_1 = 19.39223098893184
Timestep 167, E_1 = 19.470419627254962
Timestep 168, E_1 = 19.704273193179727
Timestep 169, E_1 = 20.0916949698579
Timestep 170, E_1 = 20.629319142893586
Timestep 171, E_1 = 21.312685337782227
Timestep 172, E_1 = 22.13645066261138
Timestep 173, E_1 = 23.09461617484479
Timestep 174, E_1 = 24.180747494155746
Timestep 175, E_1 = 25.388174593863283
Timestep 176, E_1 = 26.710161842015406
Timestep 177, E_1 = 28.140044776338218
Timestep 178, E_1 = 29.67133417403397
Timestep 179, E_1 = 31.297790567443627
Timestep 180, E_1 = 33.01347365937522
Timestep 181, E_1 = 34.8127714505046
Timestep 182, E_1 = 36.69041365215463
Timestep 183, E_1 = 38.641473401773744
Timestep 184, E_1 = 40.66136062234629
Timestep 185, E_1 = 42.745809692255534
Timestep 186, E_1 = 44.890863483574634
Timestep 187, E_1 = 47.09285531136075
Timestep 188, E_1 = 49.348389918610664
Timestep 189, E_1 = 51.65432429348835
Timestep 190, E_1 = 54.00774886447685
Timestep 191, E_1 = 56.40596943126733
Timestep 192, E_1 = 58.84649005136707
Timestep 193, E_1 = 61.32699700322991
Timestep 194, E_1 = 63.84534387684041
Timestep 195, E_1 = 66.3995377946658
Timestep 196, E_1 = 68.98772673393806
Timestep 197, E_1 = 71.60818790092344
Timestep 198, E_1 = 74.25931709585349
Timestep 199, E_1 = 76.93961900105931
Timestep 200, E_1 = 79.64769832275418
Timestep 201, E_1 = 82.38225171752711
Timestep 202, E_1 = 85.14206043698809
Timestep 203, E_1 = 87.92598362746749
Timestep 204, E_1 = 90.7329522257399
Timestep 205, E_1 = 93.56196339608557
Timestep 206, E_1 = 96.4120754583976
Timestep 207, E_1 = 99.28240326134058
Timestep 208, E_1 = 102.17211395867558
Timestep 209, E_1 = 105.08042315072908
Timestep 210, E_1 = 108.00659135657433
Timestep 211, E_1 = 110.94992078580002
Timestep 212, E_1 = 113.90975238176566
Timestep 213, E_1 = 116.88546311099756
Timestep 214, E_1 = 119.87646347587382
Timestep 215, E_1 = 122.8821952300034
Timestep 216, E_1 = 125.90212927773891
Timestep 217, E_1 = 128.9357637410933
Timestep 218, E_1 = 131.98262217897832
Timestep 219, E_1 = 135.0422519451616
Timestep 220, E_1 = 138.11422267266718
Timestep 221, E_1 = 141.19812487353715
Timestep 222, E_1 = 144.2935686439426
Timestep 223, E_1 = 147.4001824655923
Timestep 224, E_1 = 150.51761209525037
Timestep 225, E_1 = 153.6455195349497
Timestep 226, E_1 = 156.7835820761841
Timestep 227, E_1 = 159.93149141198904
Timestep 228, E_1 = 163.08895281138376
Timestep 229, E_1 = 166.25568435115707
